AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
59,1,1,5,50350,2017
50,1,1,5,50367,2017
39,1,1,5,50369,2017
37,1,1,5,50389,2017
41,1,1,5,50402,2017
11,1,1,5,50408,2017
49,1,2,5,50411,2017
25,1,2,5,50412,2017
17,1,2,5,50425,2017
45,1,1,5,50453,2017
58,1,1,5,50456,2017
56,1,1,5,50482,2017
34,1,1,5,50488,2017
24,1,2,5,50491,2017
48,1,1,5,50492,2017
61,1,1,5,50496,2017
40,1,2,6,60006,2017
42,1,1,6,60014,2017
23,1,1,6,60018,2017
57,1,2,6,60027,2017
63,1,2,6,60028,2017
75,1,1,6,60033,2017
34,1,1,6,60036,2017
44,1,2,6,60042,2017
39,1,1,6,60046,2017
33,1,1,6,60049,2017
32,1,1,6,60051,2017
79,1,1,6,60052,2017
21,1,1,6,60056,2017
76,1,1,6,60063,2017
26,1,1,6,60066,2017
65,1,1,6,60073,2017
81,1,1,6,60083,2017
63,1,1,6,60085,2017
28,1,1,6,60086,2017
25,1,2,6,60096,2017
43,1,1,6,60102,2017
55,1,1,6,60105,2017
41,1,1,6,60108,2017
42,1,1,6,60128,2017
81,1,2,6,60133,2017
25,1,1,6,60136,2017
27,1,2,6,60138,2017
20,1,1,6,60149,2017
50,1,1,6,60157,2017
53,1,1,6,60159,2017
63,1,1,6,60160,2017
52,1,1,6,60166,2017
50,1,1,6,60170,2017
39,1,1,6,60171,2017
21,1,1,6,60172,2017
17,1,2,6,60179,2017
35,1,1,6,60181,2017
22,1,1,6,60185,2017
38,1,1,6,60186,2017
40,1,1,6,60191,2017
53,1,1,6,60192,2017
28,1,1,6,60198,2017
53,1,1,6,60200,2017
45,1,1,6,60206,2017
56,1,1,6,60210,2017
56,1,1,6,60226,2017
68,1,1,6,60227,2017
31,1,1,6,60229,2017
12,1,2,6,60234,2017
70,1,1,6,60237,2017
19,1,1,6,60239,2017
21,1,1,6,60254,2017
17,1,1,6,60256,2017
60,1,1,6,60269,2017
57,1,1,6,60270,2017
47,1,1,6,60286,2017
25,1,1,6,60292,2017
51,1,2,6,60294,2017
28,1,1,6,60301,2017
66,1,1,6,60303,2017
25,1,2,6,60305,2017
56,1,1,6,60314,2017
48,1,2,6,60322,2017
16,1,1,6,60324,2017
56,1,1,6,60330,2017
53,1,1,6,60335,2017
27,1,1,6,60336,2017
23,1,1,6,60345,2017
70,1,2,6,60350,2017
39,1,2,6,60357,2017
79,1,1,6,60362,2017
28,1,2,6,60366,2017
50,1,1,6,60367,2017
50,1,1,6,60369,2017
59,1,2,6,60377,2017
26,1,2,6,60385,2017
78,1,1,6,60386,2017
61,1,1,6,60389,2017
47,1,2,6,60390,2017
49,1,1,6,60391,2017
66,1,2,6,60393,2017
76,1,2,6,60398,2017
40,1,1,6,60411,2017
34,1,1,6,60424,2017
21,1,1,6,60425,2017
65,1,1,6,60437,2017
33,1,1,6,60439,2017
36,1,1,6,60447,2017
67,1,1,6,60450,2017
24,1,1,6,60453,2017
36,2,2,6,60453,2017
51,1,1,6,60464,2017
49,1,1,6,60466,2017
28,1,2,6,60468,2017
34,1,1,6,60470,2017
26,1,1,6,60472,2017
56,1,1,6,60479,2017
64,1,2,6,60486,2017
59,1,1,6,60487,2017
53,1,1,6,60489,2017
55,1,1,6,60490,2017
57,1,1,6,60492,2017
65,1,1,6,60493,2017
47,1,1,6,60499,2017
35,1,1,6,60514,2017
58,1,1,6,60519,2017
21,1,1,6,60521,2017
24,1,1,6,60523,2017
23,1,1,6,60526,2017
3,1,2,6,60530,2017
51,1,1,6,60542,2017
27,1,2,6,60547,2017
41,1,1,6,60548,2017
57,1,2,6,60555,2017
22,1,1,6,60560,2017
31,2,1,6,60560,2017
25,1,1,6,60562,2017
40,1,1,6,60571,2017
38,1,1,6,60575,2017
33,1,1,6,60576,2017
27,1,1,6,60579,2017
36,1,1,6,60582,2017
32,1,1,6,60583,2017
25,1,1,6,60587,2017
41,1,1,6,60593,2017
39,1,2,6,60599,2017
54,1,1,6,60604,2017
84,1,1,6,60610,2017
50,1,2,6,60611,2017
57,1,1,6,60614,2017
36,1,1,6,60637,2017
49,1,1,6,60640,2017
30,1,1,6,60648,2017
26,1,2,6,60651,2017
27,1,1,6,60652,2017
67,1,1,6,60658,2017
49,1,2,6,60661,2017
26,1,1,6,60666,2017
20,1,1,6,60668,2017
42,1,1,6,60678,2017
71,1,1,6,60681,2017
58,1,2,6,60693,2017
41,1,1,6,60702,2017
39,1,1,6,60703,2017
58,1,1,6,60704,2017
81,1,1,6,60714,2017
33,1,2,6,60728,2017
33,2,2,6,60731,2017
50,1,1,6,60733,2017
35,1,1,6,60746,2017
45,1,1,6,60748,2017
35,1,1,6,60750,2017
45,1,1,6,60754,2017
30,1,1,6,60756,2017
42,1,2,6,60763,2017
35,1,2,6,60768,2017
62,1,1,6,60787,2017
33,1,1,6,60792,2017
76,1,2,6,60801,2017
5,1,1,6,60802,2017
35,1,1,6,60804,2017
60,1,2,6,60808,2017
38,1,1,6,60823,2017
47,1,1,6,60833,2017
58,1,2,6,60838,2017
23,1,2,6,60847,2017
75,1,1,6,60848,2017
58,1,2,6,60852,2017
81,1,1,6,60853,2017
85,1,1,6,60863,2017
71,1,1,6,60864,2017
63,1,2,6,60865,2017
31,1,1,6,60868,2017
63,1,1,6,60879,2017
63,1,1,6,60880,2017
57,1,1,6,60888,2017
23,1,2,6,60891,2017
25,1,2,6,60917,2017
75,1,2,6,60920,2017
26,1,1,6,60922,2017
46,1,1,6,60923,2017
29,1,2,6,60928,2017
42,1,1,6,60929,2017
51,1,1,6,60930,2017
30,1,1,6,60936,2017
69,1,1,6,60944,2017
74,1,1,6,60945,2017
45,1,1,6,60949,2017
66,1,2,6,60951,2017
92,1,1,6,60953,2017
56,1,1,6,60959,2017
34,1,2,6,60968,2017
54,1,2,6,60969,2017
28,1,1,6,60972,2017
60,1,1,6,60978,2017
53,1,2,6,60993,2017
56,1,2,6,60995,2017
21,1,1,6,61004,2017
39,1,1,6,61009,2017
29,1,1,6,61010,2017
64,1,1,6,61011,2017
52,1,1,6,61016,2017
40,1,2,6,61019,2017
42,1,1,6,61020,2017
31,1,2,6,61023,2017
21,1,1,6,61024,2017
46,1,1,6,61025,2017
75,1,1,6,61027,2017
60,1,1,6,61028,2017
51,1,1,6,61029,2017
50,1,1,6,61031,2017
44,1,1,6,61033,2017
55,1,1,6,61034,2017
3,1,2,6,61037,2017
52,1,1,6,61039,2017
62,1,1,6,61043,2017
41,1,2,6,61049,2017
21,1,1,6,61051,2017
58,1,1,6,61052,2017
55,1,1,6,61060,2017
47,1,2,6,61061,2017
70,1,1,6,61062,2017
53,1,1,6,61075,2017
22,1,1,6,61078,2017
66,1,1,6,61087,2017
21,1,1,6,61088,2017
94,1,1,6,61098,2017
40,1,2,6,61099,2017
60,1,1,6,61101,2017
58,1,1,6,61102,2017
31,1,1,6,61116,2017
42,1,1,6,61124,2017
57,1,1,6,61129,2017
35,1,2,6,61130,2017
28,1,1,6,61131,2017
73,1,1,6,61144,2017
30,1,2,6,61153,2017
10,1,1,6,61154,2017
51,1,1,6,61160,2017
26,1,2,6,61165,2017
58,1,1,6,61166,2017
56,1,1,6,61175,2017
50,1,1,6,61178,2017
71,1,1,6,61180,2017
55,1,1,6,61188,2017
35,1,1,6,61196,2017
42,1,1,6,61204,2017
61,1,1,6,61205,2017
40,1,1,6,61206,2017
37,1,1,6,61207,2017
77,1,1,6,61210,2017
84,1,1,6,61217,2017
62,1,1,6,61220,2017
65,1,1,6,61221,2017
25,1,1,6,61240,2017
37,1,2,6,61244,2017
68,1,2,6,61245,2017
15,1,1,6,61248,2017
72,1,1,6,61262,2017
20,1,1,6,61270,2017
34,1,1,6,61273,2017
28,1,1,6,61275,2017
76,1,1,6,61279,2017
72,1,1,6,61283,2017
46,1,2,6,61295,2017
15,1,1,6,61302,2017
74,1,1,6,61321,2017
56,1,2,6,61323,2017
53,1,2,6,61324,2017
66,1,1,6,61330,2017
34,1,1,6,61335,2017
76,1,1,6,61344,2017
47,1,2,6,61345,2017
70,1,2,6,61358,2017
83,1,1,6,61371,2017
40,1,1,6,61372,2017
61,1,1,6,61374,2017
30,1,1,6,61376,2017
51,1,1,6,61389,2017
57,1,1,6,61392,2017
53,1,1,6,61395,2017
40,1,1,6,61396,2017
64,1,2,6,61398,2017
68,1,1,6,61404,2017
2,1,1,6,61405,2017
25,1,1,6,61406,2017
76,1,1,6,61408,2017
52,1,1,6,61419,2017
17,1,2,6,61420,2017
49,1,1,6,61426,2017
69,1,1,6,61427,2017
