A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
3,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10084,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10085,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10086,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,0,1,Alabama,10087,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10088,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10089,2018
2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10090,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10091,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10092,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10093,2018
3,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,0,1,Alabama,10094,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10095,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10096,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10097,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10098,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10099,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10100,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10101,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10102,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10103,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10104,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10105,2018
2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10106,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10107,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10109,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10110,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10111,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10112,2018
1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10113,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,0,1,Alabama,10114,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10115,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,0,1,Alabama,10116,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10117,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10118,2018
2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10119,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10120,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10121,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10122,2018
2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10124,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10125,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10126,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10127,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,0,1,Alabama,10128,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10129,2018
2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,0,1,Alabama,10130,2018
1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,1,0,1,Alabama,10131,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10132,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10133,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10134,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10135,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10136,2018
3,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,1,Alabama,10137,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10138,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10139,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10140,2018
3,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10141,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10142,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10143,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10144,2018
2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10145,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10146,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,0,1,Alabama,10147,2018
1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10148,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10149,2018
1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10150,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10151,2018
1,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10152,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10153,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10154,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10155,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10156,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10157,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10158,2018
2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,0,1,Alabama,10159,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10160,2018
2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,0,1,Alabama,10161,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10162,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10163,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,0,1,Alabama,10164,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10165,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10166,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10167,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10168,2018
2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10169,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10170,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10171,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10172,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10173,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10174,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10175,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10176,2018
1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,1,0,1,Alabama,10177,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,0,1,Alabama,10178,2018
