A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_RELRD,A_RU,FATALS,SCH_BUS,STATE,ST_CASE,YEAR
2,2,2,2,2,2,2,4,1,1,0,1,10254,2015
2,2,2,2,2,2,2,4,1,1,0,1,10255,2015
2,2,2,2,2,2,2,1,2,1,0,1,10256,2015
2,2,2,2,2,2,2,4,1,1,0,1,10257,2015
2,2,2,2,2,2,2,1,2,1,0,1,10258,2015
2,2,2,2,2,2,2,1,1,1,0,1,10259,2015
2,2,2,2,2,2,2,4,1,1,0,1,10260,2015
2,2,2,2,2,2,2,4,1,1,0,1,10261,2015
2,2,2,2,2,2,2,1,1,1,0,1,10262,2015
1,1,1,1,1,2,1,1,1,1,0,1,10263,2015
2,2,2,2,2,2,2,1,2,1,0,1,10264,2015
1,1,1,1,1,1,2,1,2,1,0,1,10265,2015
1,1,1,1,1,2,2,1,1,1,0,1,10266,2015
2,2,2,2,2,2,1,1,2,1,0,1,10267,2015
2,2,2,2,1,1,2,2,2,1,0,1,10268,2015
1,1,1,1,1,2,2,1,1,1,0,1,10269,2015
1,1,1,1,1,2,2,1,2,1,0,1,10270,2015
2,2,2,2,2,2,1,1,1,1,0,1,10271,2015
2,2,2,2,2,2,2,1,2,1,0,1,10272,2015
2,2,2,2,2,2,2,4,1,1,0,1,10273,2015
2,2,2,2,2,2,2,4,1,1,0,1,10274,2015
2,1,2,1,1,2,2,4,1,1,0,1,10275,2015
2,2,2,2,2,2,2,4,1,1,0,1,10276,2015
2,2,2,2,2,2,1,1,1,1,0,1,10277,2015
2,1,2,1,1,2,2,2,2,1,0,1,10278,2015
2,2,2,2,2,2,1,1,1,1,0,1,10279,2015
2,2,2,2,2,2,2,1,2,1,0,1,10280,2015
2,2,2,2,2,2,2,4,1,1,0,1,10281,2015
2,2,2,2,2,2,2,1,2,1,0,1,10282,2015
2,1,2,1,1,2,2,1,1,1,0,1,10283,2015
1,1,1,1,1,2,2,1,1,1,0,1,10284,2015
2,2,2,2,2,2,1,1,1,1,0,1,10285,2015
2,2,2,2,2,2,2,1,2,1,0,1,10286,2015
2,2,2,2,1,1,2,1,2,1,0,1,10287,2015
2,2,2,2,1,1,2,3,1,1,0,1,10288,2015
2,2,2,2,2,2,2,4,1,1,0,1,10289,2015
2,2,2,2,2,2,1,1,1,2,0,1,10290,2015
2,2,2,2,2,2,2,1,1,1,0,1,10291,2015
2,2,2,2,2,2,2,1,2,1,0,1,10292,2015
2,2,2,2,2,2,2,4,2,1,0,1,10293,2015
2,2,2,2,2,2,2,4,1,1,0,1,10294,2015
2,2,2,2,1,1,2,3,2,1,0,1,10295,2015
2,2,2,2,2,2,2,4,1,1,0,1,10296,2015
1,1,1,1,1,2,2,1,1,2,0,1,10297,2015
2,2,2,2,2,2,2,1,2,1,0,1,10298,2015
2,2,2,2,2,2,1,1,1,1,0,1,10299,2015
2,2,2,2,2,2,2,1,2,1,0,1,10300,2015
1,1,1,1,1,2,2,4,1,1,0,1,10301,2015
2,2,2,2,1,1,2,4,1,1,0,1,10302,2015
2,2,2,2,2,2,2,1,2,1,0,1,10303,2015
2,2,2,2,2,2,2,1,2,1,0,1,10304,2015
2,2,2,2,1,1,2,4,1,1,0,1,10305,2015
